minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
280,-10,0.8,4,3.48633,270,420,150,50,81.5022,0.0137164,0.0412537,0.0389655,35000,-35005.1,-4432.34,0,0,35000,0,0,35
281,-10,0.8,4,3.48633,270,420,150,50,81.503,0.013699,0.0412538,0.0389736,35000,-35005.4,-4432.39,0,0,35000,0,0,35
282,-10,0.8,4,3.48633,270,420,150,50,81.5038,0.0136816,0.041254,0.0389816,35000,-35005.7,-4432.44,0,0,35000,0,0,35
283,-10,0.8,4,3.48633,270,420,150,50,81.5046,0.0136644,0.0412542,0.0389896,35000,-35006,-4432.49,0,0,35000,0,0,35
284,-10,0.8,4,3.48633,270,420,150,50,81.5054,0.0136472,0.0412543,0.0389976,35000,-35006.3,-4432.54,0,0,35000,0,0,35
285,-10,0.8,4,3.48633,270,420,150,50,81.5061,0.01363,0.0412545,0.0390055,35000,-35006.6,-4432.59,0,0,35000,0,0,35
286,-10,0.8,4,3.48633,270,420,150,50,81.5069,0.013613,0.0412546,0.0390133,35000,-35006.9,-4432.64,0,0,35000,0,0,35
287,-10,0.8,4,3.48633,270,420,150,50,81.5076,0.013596,0.0412548,0.0390211,35000,-35007.1,-4432.69,0,0,35000,0,0,35
288,-10,0.8,4,3.48633,270,420,150,50,81.5083,0.013579,0.0412549,0.0390288,35000,-35007.4,-4432.73,0,0,35000,0,0,35
289,-10,0.8,4,3.48633,270,420,150,50,81.5089,0.0135621,0.041255,0.0390365,35000,-35007.7,-4432.77,0,0,35000,0,0,35
290,-10,0.8,4,3.48633,270,420,150,50,81.5096,0.0135453,0.0412552,0.0390441,35000,-35007.9,-4432.81,0,0,35000,0,0,35
291,-10,0.8,4,3.48633,270,420,150,50,81.5102,0.0135285,0.0412553,0.0390517,35000,-35008.1,-4432.86,0,0,35000,0,0,35
292,-10,0.8,4,3.48633,270,420,150,50,81.5108,0.0135118,0.0412554,0.0390592,35000,-35008.4,-4432.9,0,0,35000,0,0,35
293,-10,0.8,4,3.48633,270,420,150,50,81.5114,0.0134952,0.0412555,0.0390667,35000,-35008.6,-4432.93,0,0,35000,0,0,35
294,-10,0.8,4,3.48633,270,420,150,50,81.512,0.0134786,0.0412557,0.0390741,35000,-35008.8,-4432.97,0,0,35000,0,0,35
295,-10,0.8,4,3.48633,270,420,150,50,81.5126,0.0134621,0.0412558,0.0390815,35000,-35009,-4433.01,0,0,35000,0,0,35
296,-10,0.8,4,3.48633,270,420,150,50,81.5131,0.0134456,0.0412559,0.0390888,35000,-35009.3,-4433.04,0,0,35000,0,0,35
297,-10,0.8,4,3.48633,270,420,150,50,81.5136,0.0134292,0.041256,0.0390961,35000,-35009.5,-4433.08,0,0,35000,0,0,35
298,-10,0.8,4,3.48633,270,420,150,50,81.5141,0.0134128,0.0412561,0.0391033,35000,-35009.7,-4433.11,0,0,35000,0,0,35
299,-10,0.8,4,3.48633,270,420,150,50,81.5146,0.0133965,0.0412562,0.0391105,35000,-35009.8,-4433.14,0,0,35000,0,0,35
300,-10,0.8,4,3.48633,270,420,150,50,81.5151,0.0133803,0.0412563,0.0391176,0,-35010,-4433.17,0,0,0,0,0,0
